name,formula,rt
CE 24:1,C51H90O2,1
CE 12:0,C39H68O2,0.8
CE 14:1,C41H70O2,0.82
FA 16:1,C16H30O2,3.03
FA 17:1,C17H32O2,3.03
FA 18:2,C18H32O2,3.08
FA 19:1,C19H36O2,3.04
FA 20:2,C20H36O2,3.08
FA 24:1,C24H46O2,3.08
FA 24:4,C24H40O2,3.14
FA 24:5,C24H38O2,3.17
FA 24:6,C24H36O2,3.21
FA 26:0,C26H52O2,3.07
CAR 16:0,C23H45N1O4,4.81
CAR 16:1,C23H43N1O4,4.85
CAR 18:0,C25H49N1O4,4.79
CAR 18:1,C25H47N1O4,4.82
CAR 2:0,C9H17N1O4,5.37
CAR 20:4,C27H45N1O4,4.88
CAR 3:0,C10H19N1O4,5.24
CAR 6:1,C13H23N1O4,5.38
TG 51:7,C54H90O6,1.19
"(1,2) DG 24a:0",C27H52O5,2.12
"(1,2) DG 30a:0",C33H64O5,2.35
"(1,3) DG 30a:0",C33H64O5,2.78
"(1,2) DG 30a:1",C33H62O5,2.37
"(1,3) DG 30a:1",C33H62O5,2.47
"(1,2) DG 32a:0",C35H68O5,2.37
"(1,3) DG 32a:0",C35H68O5,2.47
"(1,2) DG 34a:0",C37H72O5,2.5
"(1,3) DG 34a:0",C37H72O5,2.49
"(1,2) DG 34a:1",C37H70O5,2.43
"(1,3) DG 34a:1",C37H70O5,2.62
"(1,2) DG 34a:2",C37H68O5,2.45
"(1,3) DG 34a:2",C37H68O5,2.55
"(1,2) DG 34a:3",C37H66O5,2.46
"(1,3) DG 34a:3",C37H66O5,2.57
"(1,2) DG 36a:0",C39H76O5,2.52
"(1,3) DG 36a:0",C39H76O5,2.58
"(1,2) DG 36a:1",C39H74O5,2.47
"(1,3) DG 36a:1",C39H74O5,2.64
"(1,2) DG 36a:2",C39H72O5,2.47
"(1,3) DG 36a:2",C39H72O5,2.64
"(1,2) DG 36a:3",C39H70O5,2.49
"(1,3) DG 36a:3",C39H70O5,2.59
"(1,2) DG 36a:4",C39H68O5,2.36
"(1,3) DG 36a:4",C39H68O5,2.61
"(1,2) DG 36a:5",C39H66O5,2.37
"(1,3) DG 36a:5",C39H66O5,2.48
"(1,2) DG 38a:2",C41H76O5,2.35
"(1,3) DG 38a:2",C41H76O5,2.49
"(1,2) DG 38a:3",C41H74O5,2.34
"(1,3) DG 38a:3)",C41H74O5,2.47
"(1,2) DG 38a:4",C41H72O5,2.38
"(1,3) DG 38a:4",C41H72O5,2.46
"(1,2) DG 38a:5",C41H70O5,2.54
"(1,3) DG 38a:5",C41H70O5,2.5
"(1,2) DG 38a:6",C41H68O5,2.42
"(1,3) DG 38a:6",C41H68O5,2.66
"(1,2) DG 40a:4",C43H76O5,2.62
"(1,3) DG 40a:4",C43H76O5,2.54
"(1,2) DG 40a:5",C43H74O5,2.64
"(1,3) DG 40a:5",C43H74O5,2.74
"(1,2) DG 40a:6",C43H72O5,2.58
"(1,3) DG 40a:6",C43H72O5,2.76
"(1,2) DG 40a:7",C43H70O5,2.6
"(1,3) DG 40a:7",C43H70O5,2.7
"(1,2) DG 40a:8",C43H68O5,2.62
"(1,3) DG 40a:8",C43H68O5,2.72
"(1,2) DG 40a:9",C43H66O5,2.64
"(1,3) DG 40a:9",C43H66O5,2.74
"(1,2) DG 42a:6",C45H76O5,2.61
"(1,3) DG 42a:6",C45H76O6,2.79
"(1,3) DG 42a:6",C45H76O7,2.73
"(1,2) DG 42a:7",C45H74O5,2.62
"(1,3) DG 42a:7",C45H74O6,2.73
"(1,2) DG 42a:8",C45H72O5,2.64
"(1,3) DG 42a:8",C45H72O6,2.74
"(1,3) DG 42a:8",C45H72O7,2.76
"(1,2) DG 42a:9",C45H70O5,2.66
"(1,3) DG 42a:9",C45H70O6,2.76
"(1,2) DG 42a:10",C45H68O5,2.67
"(1,3) DG 42a:10",C45H68O5,2.76
Cer (d18:1/C15:0),C33H65N1O3,3.27
Cer (d18:1/C16:1),C34H65N1O3,3.29
Cer (d18:1/C24:0(OH)),C42H83N1O4,3.31
Cer (d18:2/C23:1),C41H77N1O3,3.35
PC 26a:0,C34H68N1O8P1,4.3
PC 32a:3,C40H74N1O8P1,4.33
PC 34a:4,C42H76N1O8P1,4.32
PC 36a:6,C44H76N1O8P1,4.35
PC 38a:7,C46H78N1O8P1,4.36
PC 38a:8,C46H76N1O8P1,4.39
PC 40a:0,C48H96N1O8P1,4.24
PC 40a:1,C48H94N1O8P1,4.26
PC 40a:2,C48H92N1O8P1,4.29
